Bulan ;Daging_Sapi
Dec  2020 (IV);105,600
Jan  2021 (I);105,600
Jan  2021 (II);105,600
Jan  2021 (III);105,950
Jan  2021 (IV);107,300
Feb  2021 (V);107,300
Feb  2021 (I);107,300
Feb  2021 (II);107,300
Feb  2021 (III);106,800
Mar  2021 (V);107,450
Mar  2021 (I);107,450
Mar  2021 (II);107,450
Mar  2021 (III);107,450
Mar  2021 (IV);107,450
Apr  2021 (I);107,450
Apr  2021 (II);107,450
Apr  2021 (III);108,750
Apr  2021 (IV);110,450
May  2021 (I);110,450
May  2021 (II);110,450
May  2021 (III);110,450
May  2021 (IV);115,400
May  2021 (V);116,650
Jun  2021 (I);116,650
Jun  2021 (II);116,650
Jun  2021 (III);115,200
Jun  2021 (IV);112,650
Jul  2021 (I);112,650
Jul  2021 (II);112,650
Jul  2021 (III);113,000
Jul  2021 (IV);113,750
Aug  2021 (V);113,750
Aug  2021 (I);113,750
Aug  2021 (II);113,750
Aug  2021 (III);114,750
Aug  2021 (IV);113,300
Sep  2021 (I);113,300
Sep  2021 (II);113,300
Sep  2021 (III);112,200
Sep  2021 (IV);110,000
Oct  2021 (I);110,000
Oct  2021 (II);110,000
Oct  2021 (III);110,000
Oct  2021 (IV);110,800
Nov  2021 (V);110,800
Nov  2021 (I);110,800
Nov  2021 (II);110,800
Nov  2021 (III);110,800
Nov  2021 (IV);110,800
Dec  2021 (I);110,800
Dec  2021 (II);110,800
Dec  2021 (III);110,800
Dec  2021 (IV);107,450
Jan  2022 (I);107,450
Jan  2022 (II);107,450
Jan  2022 (III);107,450
Jan  2022 (IV);110,750
Jan  2022 (V);111,550
Feb  2022 (I);111,550
Feb  2022 (II);111,550
Feb  2022 (III);111,550
Feb  2022 (IV);109,950
Mar  2022 (I);109,950
Mar  2022 (II);109,950
Mar  2022 (III);111,300
Mar  2022 (IV);114,250
Apr  2022 (I);114,250
Apr  2022 (II);114,250
Apr  2022 (III);114,550
Apr  2022 (IV);121,750
May  2022 (V);121,750
May  2022 (I);121,750
May  2022 (II);121,750
May  2022 (III);122,950
May  2022 (IV);122,600
Jun  2022 (I);122,600
Jun  2022 (II);122,600
Jun  2022 (III);122,000
Jun  2022 (IV);120,850
Jul  2022 (I);120,850
Jul  2022 (II);120,850
Jul  2022 (III);121,100
Jul  2022 (IV);124,850
Aug  2022 (V);124,850
Aug  2022 (I);124,850
Aug  2022 (II);124,850
Aug  2022 (III);124,000
Aug  2022 (IV);122,750
Sep  2022 (I);122,750
Sep  2022 (II);122,750
Sep  2022 (III);122,500
Sep  2022 (IV);121,100
Oct  2022 (I);121,100
Oct  2022 (II);121,100
Oct  2022 (III);121,100
Oct  2022 (IV);121,100
Oct  2022 (V);121,100
Nov  2022 (I);121,100
Nov  2022 (II);121,100
Nov  2022 (III);121,100
Nov  2022 (IV);121,100
Dec  2022 (I);121,100
Dec  2022 (II);121,100
Dec  2022 (III);121,100
Dec  2022 (IV);121,100
Jan  2023 (V);121,100
Jan  2023 (I);121,100
Jan  2023 (II);121,100
Jan  2023 (III);121,100
Jan  2023 (IV);121,100
Feb  2023 (I);121,100
Feb  2023 (II);121,100
Feb  2023 (III);121,100
Feb  2023 (IV);121,100
Mar  2023 (I);121,100
Mar  2023 (II);121,100
Mar  2023 (III);122,000
Mar  2023 (IV);123,850
Apr  2023 (I);123,850
Apr  2023 (II);123,850
Apr  2023 (III);124,650
Apr  2023 (IV);125,900
May  2023 (V);126,750
May  2023 (I);126,750
May  2023 (II);126,450
May  2023 (III);125,950
May  2023 (IV);125,600
Jun  2023 (I);125,600
Jun  2023 (II);125,600
Jun  2023 (III);126,150
Jun  2023 (IV);127,300
Jul  2023 (I);127,300
Jul  2023 (II);127,300
Jul  2023 (III);127,300
Jul  2023 (IV);124,200
Jul  2023 (V);123,500
Aug  2023 (I);123,500
Aug  2023 (II);123,500
Aug  2023 (III);123,750
Aug  2023 (IV);124,150
